  id  |                                 name                                 | series  |                   sheet                   | year_printed | uploadedmap_id |                                   extent                                   
  125 | Morley                                                               | NZMS1   | S159                                      |         1946 |                | BOX(167.787519476846 -45.9287124708882,168.331011099954 -45.6664267924348)
 1800 | Piano Flat                                                           | Topo50  | CD12                                      |         2009 |                | BOX(168.842808526392 -45.6466358835413,169.172012864264 -45.3126589889861)
   77 | Te Whaiti                                                            | NZMS1   | N95                                       |         1957 |                | BOX(176.443574825247 -38.7473053217332,176.920021402033 -38.4954771975306)
  140 | Invercargill                                                         | NZMS1   | S177                                      |         1943 |                | BOX(168.288396411271 -46.4353001691093,168.835028595857 -46.1751243196359)
 2458 | Topographical plan of Fox country, Westland                          |         |                                           |         1896 |             90 | BOX(169.97960874743 -43.5702422452688,170.249200878548 -43.4664178872828)
  153 | Hope                                                                 | NZMS1   | S26                                       |         1943 |                | BOX(172.486109014201 -41.7716990200596,172.984627572718 -41.5194693531791)
 2004 | Alabaster Pass                                                       | Topo50  | CA09                                      |         2009 |                | BOX(168.007694443963 -44.6429466949011,168.335083914819 -44.3072593695484)
   56 | Te Kauwhata                                                          | NZMS1   | N52                                       |         1942 |                | BOX(175.0347623231 -37.5154623292199,175.500188464203 -37.2673864326337)
 2438 | OT108                                                                | NZMS13  | OT108                                     |         1878 |                | BOX(170.480748032602 -45.6908780915378,170.807879321103 -45.4476084533967)
 1966 | Okarito                                                              | Topo50  | BW15                                      |         2009 |                | BOX(169.888089444964 -43.4082171313398,170.198978241348 -43.07684551386)
 2028 | New Plymouth                                                         | Topo50  | BH29                                      |         2009 |                | BOX(173.968681971043 -39.2232279255765,174.251105593483 -38.8962453398617)
  729 | Doubtful                                                             | NZMS1   | S138-139                                  |         1974 |                | BOX(166.771729943953 -45.4019921433246,167.313769099423 -45.1354721480964)
 2183 | Otorohanga                                                           | NZMS15  | 2                                         |         1936 |                | BOX(175.40615 -38.49458,175.6987 -38.08826)
 2373 | MB3                                                                  | NZMS13  | MB3                                       |         1882 |                | BOX(174.023157656285 -41.1977484638603,174.489156203638 -40.9247626948284)
 1045 | Waiapu                                                               | NZMS1   | N72                                       |         1970 |                | BOX(178.300510454506 -37.9761944836452,178.777495762377 -37.7173419508258)
 2211 | Matamata                                                             | NZMS15  | 2                                         |         1946 |                | BOX(175.62288 -38.43879,176.06851 -38.07346)
  891 | Kawhia                                                               | NZMS260 | Q15-R15                                   |         1981 |                | BOX(174.588822897033 -38.1325038002667,175.051309822997 -37.8547046414339)
  468 | Hokianga                                                             | NZMS1   | N14                                       |         1972 |                | BOX(173.232328116521 -35.5241913891013,173.691204398532 -35.2694604668755)
  575 | Mangaweka                                                            | NZMS1   | N139                                      |         1979 |                | BOX(175.500178396079 -39.9865495970853,175.981932817582 -39.7384965439402)
 1180 | Harpers Pass                                                         | NZMS1   | S52                                       |         1977 |                | BOX(171.500115560969 -42.7637937595342,172.002810692711 -42.5157587711399)
  189 | Kaiapoi                                                              | NZMS1   | S76                                       |         1942 |                | BOX(172.513532321389 -43.5000321216573,173.026272971727 -43.2475513902904)
 2339 | Sounds                                                               | NZMS15  | 1                                         |         1946 |                | BOX(173.57266 -41.26504,174.01735 -40.87762)
  712 | Bligh                                                                | NZMS1   | S120-121                                  |         1979 |                | BOX(167.23933443759 -44.9274669765157,167.867146529423 -44.6600592930599)
 1306 | West Cape                                                            | NZMS260 | A45                                       |         1995 |                | BOX(166.339550853588 -46.070499917366,166.563363997228 -45.7906480109151)
 1346 | Bluff                                                                | NZMS260 | E47                                       |         1999 |                | BOX(168.034225531525 -46.6930206665715,168.252095497951 -46.576739247227)
  923 | Huntly                                                               | NZMS260 | S13                                       |         1981 |                | BOX(175.027486979741 -37.5844513001719,175.488127238083 -37.3049471494212)
 1453 | Lincoln                                                              | NZMS260 | M36                                       |         1994 |                | BOX(172.254110817608 -43.8171897537477,172.752363099251 -43.545062739186)
 2360 | Takaka                                                               | NZMS15  |                                           |         1926 |                | BOX(172.49792 -41.21922,173.12899 -40.75839)
 1910 | Collingwood                                                          | Topo50  | BN24                                      |         2009 |                | BOX(172.572924510966 -40.8489585576002,172.858328268138 -40.5239505265416)
