  id  |               name                | year_printed |         sheet         
 2014 | Waitahuna                         |         2009 | CE15
 2015 | Ophir                             |         2009 | CC14
 2016 | Alexandra                         |         2009 | CC13
 2017 | Bannockburn                       |         2009 | CC12
 2018 | Queenstown                        |         2009 | CC11
 2019 | Foxton                            |         2009 | BM33
 2020 | Masterton                         |         2009 | BP34
 2021 | Featherston                       |         2009 | BP33
 2022 | Kapiti Island                     |         2009 | BN32ptBP32
 2023 | Paraparaumu                       |         2009 | BP32
 2024 | Porirua                           |         2009 | BP31
 2025 | Gouland Downs                     |         2009 | BP23
 2026 | Opourapa Island                   |         2009 | BG30ptBH30
 2027 | Urenui                            |         2009 | BH30
 2028 | New Plymouth                      |         2009 | BH29
 2029 | Oakura                            |         2009 | BH28
 2030 | Waiinu Beach                      |         2009 | BL31ptBK31
 2031 | Patea                             |         2009 | BK30
 2032 | Manaia                            |         2009 | BK29
 2033 | Heaphy Beach                      |         2009 | BP22
 2034 | Thames                            |         2009 | BB34
 2035 | Seddon                            |         2009 | BR29
 2036 | Blenheim                          |         2009 | BR28
 2037 | Waihopai                          |         2009 | BR27
 2038 | Manurewa Point                    |         2009 | BR34
 2039 | Tophouse                          |         2009 | BR25
 2040 | Kawatiri                          |         2009 | BR24
 2041 | Murchison                         |         2009 | BR23
 2042 | Mount Northampton                 |         2009 | BT25
 2043 | Ada Flat                          |         2009 | BT24
 2044 | Lewis Pass                        |         2009 | BT23
 2045 | Motunau Beach                     |         2009 | BV25
 2046 | Waipara                           |         2009 | BV24
 2047 | Walter Peak                       |         2009 | CC10
 2048 | North Malvora Lake                |         2009 | CC09
 2049 | Welcome Point                     |         2009 | CC08
 2050 | North West Arm                    |         2009 | CC07
 2051 | Lawrence                          |         2009 | CE14
 2052 | Tapanui                           |         2009 | CE13
 2053 | Black Umbrella                    |         2009 | CE12
 2054 | Riversdale                        |         2009 | CE11
 2055 | Lumsden                           |         2009 | CE10
 2056 | Avondale                          |         2009 | CE09
 2057 | Blackmount                        |         2009 | CE08
 2058 | Lake Monowai                      |         2009 | CE07
 2059 | Nugget Point                      |         2009 | CG15
 2060 | Manawatawhi / Three Kings Islands |         2009 | AS21/AS22
 2061 | Owaka                             |         2009 | CG14
 2062 | Chaslands                         |         2009 | CG13
 2063 | Wyndham                           |         2009 | CG12
 2064 | Dacre                             |         2009 | CG11
 2065 | Invercargill                      |         2009 | CG10
 2066 | Riverton / Aparima                |         2009 | CG09
 2067 | Orepuki                           |         2009 | CG08
 2068 | Port Adventure                    |         2009 | CJ10
 2069 | Mount Allen                       |         2009 | CJ09
 2070 | Doughboy Bay                      |         2009 | CJ08
 2071 | Caswell Sound                     |         2009 | CC06
 2072 | Colonial Head                     |         2009 | CC05
 2073 | Lake Roe                          |         2009 | CE06
 2074 | Cooper Island                     |         2009 | CE05
 2075 | Anchor Island                     |         2009 | CE04
 2076 | Long Point                        |         2009 | CG06
 2077 | Green Islets                      |         2009 | CG05
(445 rows)

